"ID","French","English","Italian","German","Russian","Spanish","LatAm","Czech","Hungarian","Polish","IdPlayerNameTypes","Part"
"290","fagors","fagors","fagors","fagors","фагорс","fagors","fagors","fagors","fagors","fagors","5","2"
"291","-fagor","-fagor","-fagor","-fagor","-фагор","-fagor","-fagor","-fagor","-fagor","-fagor","5","2"
"292","-fagors","-fagors","-fagors","-fagors","-фагорс","-fagors","-fagors","-fagors","-fagors","-fagors","5","2"
"293","'fagor","'fagor","'fagor","'fagor","'фагор","'fagor","'fagor","'fagor","'fagor","'fagor","5","2"
"294","'fagors","'fagors","'fagors","'fagors","'фагорс","'fagors","'fagors","'fagors","'fagors","'fagors","5","2"
"295","mulgor","mulgor","mulgor","mulgor","мулгор","mulgor","mulgor","mulgor","mulgor","mulgor","5","2"
"296","mulgors","mulgors","mulgors","mulgors","мулгорс","mulgors","mulgors","mulgors","mulgors","mulgors","5","2"
"297","-mulgor","-mulgor","-mulgor","-mulgor","-мулгор","-mulgor","-mulgor","-mulgor","-mulgor","-mulgor","5","2"
"298","-mulgors","-mulgors","-mulgors","-mulgors","-мулгорс","-mulgors","-mulgors","-mulgors","-mulgors","-mulgors","5","2"
"299","'mulgor","'mulgor","'mulgor","'mulgor","мулгор","'mulgor","'mulgor","'mulgor","'mulgor","'mulgor","5","2"
"300","'mulgors","'mulgors","'mulgors","'mulgors","мулгорс","'mulgors","'mulgors","'mulgors","'mulgors","'mulgors","5","2"
"301","Drakar","Drakar","Drakar","Drakar","Дракар","Drakar","Drakar","Drakar","Drakar","Drakar","6","1"
"302","Kardos","Kardos","Kardos","Kardos","Кардос","Kardos","Kardos","Kardos","Kardos","Kardos","6","1"
"303","Belmoth","Belmoth","Belmoth","Belmoth","Белмот","Belmoth","Belmoth","Belmoth","Belmoth","Belmoth","6","1"
"304","Kinear","Kinear","Kinear","Kinear","Кинир","Kinear","Kinear","Kinear","Kinear","Kinear","6","1"
"305","Rikkit","Rikkit","Rikkit","Rikkit","Риккит","Rikkit","Rikkit","Rikkit","Rikkit","Rikkit","6","1"
"306","Tzaal","Tzaal","Tzaal","Tzaal","Цаал","Tzaal","Tzaal","Tzaal","Tzaal","Tzaal","6","1"
"307","Felkane","Felkane","Felkane","Felkane","Фелкейн","Felkane","Felkane","Felkane","Felkane","Felkane","6","1"
"308","Leshtrigel","Leshtrigel","Leshtrigel","Leshtrigel","Лестригель","Leshtrigel","Leshtrigel","Leshtrigel","Leshtrigel","Leshtrigel","6","1"
"309","Phaos","Phaos","Phaos","Phaos","Фаос","Phaos","Phaos","Phaos","Phaos","Phaos","6","1"
"310","Dhaos","Dhaos","Dhaos","Dhaos","Дхаос","Dhaos","Dhaos","Dhaos","Dhaos","Dhaos","6","1"
"311","Khar","Khar","Khar","Khar","Кхар","Khar","Khar","Khar","Khar","Khar","6","1"
"312","Leth","Leth","Leth","Leth","Леф","Leth","Leth","Leth","Leth","Leth","6","1"
"313","Hysh","Hysh","Hysh","Hysh","Хиш","Hysh","Hysh","Hysh","Hysh","Hysh","6","1"
"314","Chamon","Chamon","Chamon","Chamon","Хаммон","Chamon","Chamon","Chamon","Chamon","Chamon","6","1"
"315","Ghyran","Ghyran","Ghyran","Ghyran","Гхиран","Ghyran","Ghyran","Ghyran","Ghyran","Ghyran","6","1"
"316","Qhaysh","Qhaysh","Qhaysh","Qhaysh","Кхаиш","Qhaysh","Qhaysh","Qhaysh","Qhaysh","Qhaysh","6","1"
"317","Khir","Khir","Khir","Khir","Кхир","Khir","Khir","Khir","Khir","Khir","6","1"
"318","Dekan","Dekan","Dekan","Dekan","Декан","Dekan","Dekan","Dekan","Dekan","Dekan","6","1"
"319","Aos","Aos","Aos","Aos","Аос","Aos","Aos","Aos","Aos","Aos","6","1"
"320","Kah","Kah","Kah","Kah","Ка","Kah","Kah","Kah","Kah","Kah","6","1"
"321","Maks","Maks","Maks","Maks","Макс","Maks","Maks","Maks","Maks","Maks","6","1"
"322","Nyth","Nyth","Nyth","Nyth","Ниф","Nyth","Nyth","Nyth","Nyth","Nyth","6","1"
"323","Lektor","Lektor","Lektor","Lektor","Лектор","Lektor","Lektor","Lektor","Lektor","Lektor","6","1"
"324","Kathor","Kathor","Kathor","Kathor","Катор","Kathor","Kathor","Kathor","Kathor","Kathor","6","1"
"325","Trish","Trish","Trish","Trish","Триш","Trish","Trish","Trish","Trish","Trish","6","1"
"326","Tricia","Tricia","Tricia","Tricia","Триция","Tricia","Tricia","Tricia","Tricia","Tricia","6","1"
"327","Archa","Archa","Archa","Archa","Арха","Archa","Archa","Archa","Archa","Archa","6","1"
"328","Anar","Anar","Anar","Anar","Анар","Anar","Anar","Anar","Anar","Anar","6","1"
"329","Drath","Drath","Drath","Drath","Драт","Drath","Drath","Drath","Drath","Drath","6","1"
"330","Mysh","Mysh","Mysh","Mysh","Миш","Mysh","Mysh","Mysh","Mysh","Mysh","6","1"
"331"," Neth Shyesh"," Neth Shyesh"," Neth Shyesh"," Neth Shyesh"," Неф Шиеш"," Neth Shyesh"," Neth Shyesh"," Neth Shyesh"," Neth Shyesh"," Neth Shyesh","6","2"
"332"," Ashyh Paos'y"," Ashyh Paos'y"," Ashyh Paos'y"," Ashyh Paos'y"," Аши Паос'и"," Ashyh Paos'y"," Ashyh Paos'y"," Ashyh Paos'y"," Ashyh Paos'y"," Ashyh Paos'y","6","2"
"333"," Dha Ulgu'y"," Dha Ulgu'y"," Dha Ulgu'y"," Dha Ulgu'y"," Дха Улгу'и"," Dha Ulgu'y"," Dha Ulgu'y"," Dha Ulgu'y"," Dha Ulgu'y"," Dha Ulgu'y","6","2"
"334"," Neth Dhaar"," Neth Dhaar"," Neth Dhaar"," Neth Dhaar"," Неф Дхаар"," Neth Dhaar"," Neth Dhaar"," Neth Dhaar"," Neth Dhaar"," Neth Dhaar","6","2"
"335"," Dha Ghur"," Dha Ghur"," Dha Ghur"," Dha Ghur"," Дха Гхур"," Dha Ghur"," Dha Ghur"," Dha Ghur"," Dha Ghur"," Dha Ghur","6","2"
"336"," Aqhyah Ugu'y"," Aqhyah Ugu'y"," Aqhyah Ugu'y"," Aqhyah Ugu'y"," Акхиа Агу'и"," Aqhyah Ugu'y"," Aqhyah Ugu'y"," Aqhyah Ugu'y"," Aqhyah Ugu'y"," Aqhyah Ugu'y","6","2"
"337"," Grim Shyesh"," Grim Shyesh"," Grim Shyesh"," Grim Shyesh"," Грим Шиеш"," Grim Shyesh"," Grim Shyesh"," Grim Shyesh"," Grim Shyesh"," Grim Shyesh","6","2"
"338"," Frim Phaos'y"," Frim Phaos'y"," Frim Phaos'y"," Frim Phaos'y"," Фрим Фаос'и"," Frim Phaos'y"," Frim Phaos'y"," Frim Phaos'y"," Frim Phaos'y"," Frim Phaos'y","6","2"
"339"," Taos Luy'y"," Taos Luy'y"," Taos Luy'y"," Taos Luy'y"," Таос Луи'и"," Taos Luy'y"," Taos Luy'y"," Taos Luy'y"," Taos Luy'y"," Taos Luy'y","6","2"
"340"," Neth Ghurk"," Neth Ghurk"," Neth Ghurk"," Neth Ghurk"," Неф Гхурк"," Neth Ghurk"," Neth Ghurk"," Neth Ghurk"," Neth Ghurk"," Neth Ghurk","6","2"
"341"," Dha Shyesh"," Dha Shyesh"," Dha Shyesh"," Dha Shyesh"," Дха Шиеш"," Dha Shyesh"," Dha Shyesh"," Dha Shyesh"," Dha Shyesh"," Dha Shyesh","6","2"
"342"," Kha Dhy"," Kha Dhy"," Kha Dhy"," Kha Dhy"," Ка Дхи"," Kha Dhy"," Kha Dhy"," Kha Dhy"," Kha Dhy"," Kha Dhy","6","2"
"343"," Alqui Paos'y"," Alqui Paos'y"," Alqui Paos'y"," Alqui Paos'y"," Алкви Паос'и"," Alqui Paos'y"," Alqui Paos'y"," Alqui Paos'y"," Alqui Paos'y"," Alqui Paos'y","6","2"
"344"," Darth Muy"," Darth Muy"," Darth Muy"," Darth Muy"," Дарт Маи"," Darth Muy"," Darth Muy"," Darth Muy"," Darth Muy"," Darth Muy","6","2"
"345"," Sylk Dha'y"," Sylk Dha'y"," Sylk Dha'y"," Sylk Dha'y"," Силк Дха'и"," Sylk Dha'y"," Sylk Dha'y"," Sylk Dha'y"," Sylk Dha'y"," Sylk Dha'y","6","2"
"346"," Myr Shraak"," Myr Shraak"," Myr Shraak"," Myr Shraak"," Мир Шраак"," Myr Shraak"," Myr Shraak"," Myr Shraak"," Myr Shraak"," Myr Shraak","6","2"
"347"," Dal' Shin"," Dal' Shin"," Dal' Shin"," Dal' Shin"," Дал Хин"," Dal' Shin"," Dal' Shin"," Dal' Shin"," Dal' Shin"," Dal' Shin","6","2"
"348","Kart","Kart","Kart","Kart","Карт","Kart","Kart","Kart","Kart","Kart","7","1"
"349","Lili","Lili","Lili","Lili","Лили","Lili","Lili","Lili","Lili","Lili","7","1"
"350","Xaq","Xaq","Xaq","Xaq","Ксак","Xaq","Xaq","Xaq","Xaq","Xaq","7","1"
"351","Brik","Brik","Brik","Brik","Брик","Brik","Brik","Brik","Brik","Brik","7","1"
"352","Kra","Kra","Kra","Kra","Кра","Kra","Kra","Kra","Kra","Kra","7","1"
"353","Brak","Brak","Brak","Brak","Брак","Brak","Brak","Brak","Brak","Brak","7","1"
"354","Orgri","Orgri","Orgri","Orgri","Оргри","Orgri","Orgri","Orgri","Orgri","Orgri","7","1"
"355","Truk","Truk","Truk","Truk","Трак","Truk","Truk","Truk","Truk","Truk","7","1"
"356","Kong","Kong","Kong","Kong","Конг","Kong","Kong","Kong","Kong","Kong","7","1"
"357","Prik","Prik","Prik","Prik","Прик","Prik","Prik","Prik","Prik","Prik","7","1"
"358","Be","Be","Be","Be","Бе","Be","Be","Be","Be","Be","7","1"
"359","Zez","Zez","Zez","Zez","Зез","Zez","Zez","Zez","Zez","Zez","7","1"
"360","ush","ush","ush","ush","аш","ush","ush","ush","ush","ush","7","2"
"361","og","og","og","og","ог","og","og","og","og","og","7","2"
"362","mar","mar","mar","mar","мар","mar","mar","mar","mar","mar","7","2"
"363","ruh","ruh","ruh","ruh","рух","ruh","ruh","ruh","ruh","ruh","7","2"
"364","torg","torg","torg","torg","торг","torg","torg","torg","torg","torg","7","2"
"365","terg","terg","terg","terg","терг","terg","terg","terg","terg","terg","7","2"
"366","krieg","krieg","krieg","krieg","крег","krieg","krieg","krieg","krieg","krieg","7","2"
"367","war","war","war","war","вар","war","war","war","war","war","7","2"
"368","ger","ger","ger","ger","гер","ger","ger","ger","ger","ger","7","2"
"369","Aëth","Aëth","Aëth","Aëth","Аот","Aëth","Aëth","Aëth","Aëth","Aëth","8","1"
"370","Al'","Al'","Al'","Al'","Ал'","Al'","Al'","Al'","Al'","Al'","8","1"
"371","Ath","Ath","Ath","Ath","Ат","Ath","Ath","Ath","Ath","Ath","8","1"
"372","Ball","Ball","Ball","Ball","Баль","Ball","Ball","Ball","Ball","Ball","8","1"
"373","Bereth","Bereth","Bereth","Bereth","Берет","Bereth","Bereth","Bereth","Bereth","Bereth","8","1"
"374","Brim","Brim","Brim","Brim","Брим","Brim","Brim","Brim","Brim","Brim","8","1"
"375","Cel","Cel","Cel","Cel","Кел","Cel","Cel","Cel","Cel","Cel","8","1"
"376","Cir","Cir","Cir","Cir","Кир","Cir","Cir","Cir","Cir","Cir","8","1"
"377","Coë","Coë","Coë","Coë","Ко","Coë","Coë","Coë","Coë","Coë","8","1"
"378","Dor","Dor","Dor","Dor","Дор","Dor","Dor","Dor","Dor","Dor","8","1"
"379","El","El","El","El","Эл","El","El","El","El","El","8","1"
"380","End","End","End","End","Энд","End","End","End","End","End","8","1"
"381","Ethil","Ethil","Ethil","Ethil","Этил","Ethil","Ethil","Ethil","Ethil","Ethil","8","1"
"382","Deh","Deh","Deh","Deh","Дех","Deh","Deh","Deh","Deh","Deh","8","1"
"383","Dar","Dar","Dar","Dar","Дар","Dar","Dar","Dar","Dar","Dar","8","1"
"384","Dil","Dil","Dil","Dil","Дил","Dil","Dil","Dil","Dil","Dil","8","1"
"385","Lor","Lor","Lor","Lor","Лор","Lor","Lor","Lor","Lor","Lor","8","1"
"386","Loth","Loth","Loth","Loth","Лот","Loth","Loth","Loth","Loth","Loth","8","1"
"387","Naga","Naga","Naga","Naga","Нага","Naga","Naga","Naga","Naga","Naga","8","1"
"388","Nim","Nim","Nim","Nim","Ним","Nim","Nim","Nim","Nim","Nim","8","1"
"389","Than","Than","Than","Than","Тан","Than","Than","Than","Than","Than","8","1"
"390","Tor","Tor","Tor","Tor","Тор","Tor","Tor","Tor","Tor","Tor","8","1"
"391","Lith","Lith","Lith","Lith","Лит","Lith","Lith","Lith","Lith","Lith","8","1"
"392","Nael","Nael","Nael","Nael","Наэл","Nael","Nael","Nael","Nael","Nael","8","1"
"393","Tel","Tel","Tel","Tel","Тел","Tel","Tel","Tel","Tel","Tel","8","1"
"394","Far","Far","Far","Far","Фар","Far","Far","Far","Far","Far","8","1"
"395","Gith","Gith","Gith","Gith","Гит","Gith","Gith","Gith","Gith","Gith","8","1"
"396","Glor","Glor","Glor","Glor","Глор","Glor","Glor","Glor","Glor","Glor","8","1"
"397","Gwen","Gwen","Gwen","Gwen","Гвен","Gwen","Gwen","Gwen","Gwen","Gwen","8","1"
"398","Hir","Hir","Hir","Hir","Хир","Hir","Hir","Hir","Hir","Hir","8","1"
"399","Fel","Fel","Fel","Fel","Фел","Fel","Fel","Fel","Fel","Fel","8","1"
"400","Fy","Fy","Fy","Fy","Фи","Fy","Fy","Fy","Fy","Fy","8","1"
"401","Hë","Hë","Hë","Hë","Хо","Hë","Hë","Hë","Hë","Hë","8","1"
"402","Has","Has","Has","Has","Хаз","Has","Has","Has","Has","Has","8","1"
"403","andar","andar","andar","andar","андар","andar","andar","andar","andar","andar","8","2"
"404","andril","andril","andril","andril","андриль","andril","andril","andril","andril","andril","8","2"
"405","anel","anel","anel","anel","анел","anel","anel","anel","anel","anel","8","2"
"406","anur","anur","anur","anur","анур","anur","anur","anur","anur","anur","8","2"
"407","bane","bane","bane","bane","бейн","bane","bane","bane","bane","bane","8","2"
"408","deorn","deorn","deorn","deorn","деорн","deorn","deorn","deorn","deorn","deorn","8","2"
"409","ellion","ellion","ellion","ellion","эллион","ellion","ellion","ellion","ellion","ellion","8","2"
"410","endil","endil","endil","endil","эндиль","endil","endil","endil","endil","endil","8","2"
"411","fin","fin","fin","fin","фин","fin","fin","fin","fin","fin","8","2"
"412","galiel","galiel","galiel","galiel","галиэль","galiel","galiel","galiel","galiel","galiel","8","2"
"413","huir","huir","huir","huir","уир","huir","huir","huir","huir","huir","8","2"
"414","ien","ien","ien","ien","иэн","ien","ien","ien","ien","ien","8","2"
"415","irel","irel","irel","irel","ириэль","irel","irel","irel","irel","irel","8","2"
"416","irlan","irlan","irlan","irlan","ирлан","irlan","irlan","irlan","irlan","irlan","8","2"
"417","mor","mor","mor","mor","мор","mor","mor","mor","mor","mor","8","2"
"418","nor","nor","nor","nor","нор","nor","nor","nor","nor","nor","8","2"
"419","nwaen","nwaen","nwaen","nwaen","нваэн","nwaen","nwaen","nwaen","nwaen","nwaen","8","2"
"420","win","win","win","win","вин","win","win","win","win","win","8","2"
"421","anwe","anwe","anwe","anwe","анве","anwe","anwe","anwe","anwe","anwe","8","2"
"422","anfel","anfel","anfel","anfel","анфель","anfel","anfel","anfel","anfel","anfel","8","2"
"423","ath","ath","ath","ath","ат","ath","ath","ath","ath","ath","8","2"
"424","del","del","del","del","дель","del","del","del","del","del","8","2"
"425","don","don","don","don","дон","don","don","don","don","don","8","2"
"426","dor","dor","dor","dor","дор","dor","dor","dor","dor","dor","8","2"
"427","lin","lin","lin","lin","лин","lin","lin","lin","lin","lin","8","2"
"428","lun","lun","lun","lun","лун","lun","lun","lun","lun","lun","8","2"
"429","mar","mar","mar","mar","мар","mar","mar","mar","mar","mar","8","2"
"430","nost","nost","nost","nost","ност","nost","nost","nost","nost","nost","8","2"
"431","ost","ost","ost","ost","ост","ost","ost","ost","ost","ost","8","2"
"432","oth","oth","oth","oth","от","oth","oth","oth","oth","oth","8","2"
"433","rond","rond","rond","rond","ронд","rond","rond","rond","rond","rond","8","2"
"434","tor","tor","tor","tor","тор","tor","tor","tor","tor","tor","8","2"
"435","uen","uen","uen","uen","уэн","uen","uen","uen","uen","uen","8","2"
"436","und","und","und","und","унд","und","und","und","und","und","8","2"
"437","yth","yth","yth","yth","ит","yth","yth","yth","yth","yth","8","2"
"438","tor","tor","tor","tor","тор","tor","tor","tor","tor","tor","8","2"
"439","uen","uen","uen","uen","уэн","uen","uen","uen","uen","uen","8","2"
"440","rond","rond","rond","rond","ронд","rond","rond","rond","rond","rond","8","2"
"441","roith","roith","roith","roith","ройт","roith","roith","roith","roith","roith","8","2"
"442","henlu","henlu","henlu","henlu","хенлу","henlu","henlu","henlu","henlu","henlu","8","2"
"443","alu","alu","alu","alu","алу","alu","alu","alu","alu","alu","8","2"
"444","alu","alu","alu","alu","алу","alu","alu","alu","alu","alu","8","2"
"445","hain","hain","hain","hain","хайн","hain","hain","hain","hain","hain","8","2"
"446","hain","hain","hain","hain","хайн","hain","hain","hain","hain","hain","8","2"
"447","ryaur","ryaur","ryaur","ryaur","рийор","ryaur","ryaur","ryaur","ryaur","ryaur","8","2"
"448","mraif","mraif","mraif","mraif","мраиф","mraif","mraif","mraif","mraif","mraif","8","2"
"449","nayla","nayla","nayla","nayla","найла","nayla","nayla","nayla","nayla","nayla","8","2"
"450","Oht","Oht","Oht","Oht","Охт","Oht","Oht","Oht","Oht","Oht","9","1"
"451","Macar","Macar","Macar","Macar","Макар","Macar","Macar","Macar","Macar","Macar","9","1"
"452","Mahtar","Mahtar","Mahtar","Mahtar","Махтар","Mahtar","Mahtar","Mahtar","Mahtar","Mahtar","9","1"
"453","Ohtacár","Ohtacár","Ohtacár","Ohtacár","Охтакар","Ohtacár","Ohtacár","Ohtacár","Ohtacár","Ohtacár","9","1"
"454","Mahtal","Mahtal","Mahtal","Mahtal","Махтал","Mahtal","Mahtal","Mahtal","Mahtal","Mahtal","9","1"
"455","Malue","Malue","Malue","Malue","Малуэ","Malue","Malue","Malue","Malue","Malue","9","1"
"456","Mylm","Mylm","Mylm","Mylm","Мильм","Mylm","Mylm","Mylm","Mylm","Mylm","9","1"
"457","Mitiae","Mitiae","Mitiae","Mitiae","Митиэ","Mitiae","Mitiae","Mitiae","Mitiae","Mitiae","9","1"
"458","Fin","Fin","Fin","Fin","Фин","Fin","Fin","Fin","Fin","Fin","9","1"
"459","Utae","Utae","Utae","Utae","Утэ","Utae","Utae","Utae","Utae","Utae","9","1"
"460","Lilta","Lilta","Lilta","Lilta","Лилта","Lilta","Lilta","Lilta","Lilta","Lilta","9","1"
"461","Ciren","Ciren","Ciren","Ciren","Кирен","Ciren","Ciren","Ciren","Ciren","Ciren","9","1"
"462","Ran","Ran","Ran","Ran","Ран","Ran","Ran","Ran","Ran","Ran","9","1"
"463","Railar","Railar","Railar","Railar","Райлар","Railar","Railar","Railar","Railar","Railar","9","1"
"464","Naieth","Naieth","Naieth","Naieth","Найет","Naieth","Naieth","Naieth","Naieth","Naieth","9","1"
"465","Gwyth","Gwyth","Gwyth","Gwyth","Гвит","Gwyth","Gwyth","Gwyth","Gwyth","Gwyth","9","1"
"466","Caidath","Caidath","Caidath","Caidath","Кайдат","Caidath","Caidath","Caidath","Caidath","Caidath","9","2"
"467","aeth","aeth","aeth","aeth","эт","aeth","aeth","aeth","aeth","aeth","9","2"
"468","anel","anel","anel","anel","анель","anel","anel","anel","anel","anel","9","2"
"469","anfel","anfel","anfel","anfel","анфель","anfel","anfel","anfel","anfel","anfel","9","2"
"470","anur","anur","anur","anur","анур","anur","anur","anur","anur","anur","9","2"
"471","anwe","anwe","anwe","anwe","анве","anwe","anwe","anwe","anwe","anwe","9","2"
"472","athel","athel","athel","athel","атель","athel","athel","athel","athel","athel","9","2"
"473","ear","ear","ear","ear","ир","ear","ear","ear","ear","ear","9","2"
"474","elen","elen","elen","elen","элен","elen","elen","elen","elen","elen","9","2"
"475","'huir","'huir","'huir","'huir","уир","'huir","'huir","'huir","'huir","'huir","9","2"
"476","il","il","il","il","иль","il","il","il","il","il","9","2"
"477","'loren","'loren","'loren","'loren","лорен","'loren","'loren","'loren","'loren","'loren","9","2"
"478","'nor","'nor","'nor","'nor","нор","'nor","'nor","'nor","'nor","'nor","9","2"
"479","'nwaen","'nwaen","'nwaen","'nwaen","нваен","'nwaen","'nwaen","'nwaen","'nwaen","'nwaen","9","2"
"480","ost","ost","ost","ost","ост","ost","ost","ost","ost","ost","9","2"
"481","'sila","'sila","'sila","'sila","сила","'sila","'sila","'sila","'sila","'sila","9","2"
"482","'tor","'tor","'tor","'tor","тор","'tor","'tor","'tor","'tor","'tor","9","2"
"483","'und","'und","'und","'und","унд","'und","'und","'und","'und","'und","9","2"
"484","'win","'win","'win","'win","вин","'win","'win","'win","'win","'win","9","2"
"485","yth","yth","yth","yth","ит","yth","yth","yth","yth","yth","9","2"
"486","Profond","Deep","Grande","Tief","Глубо","Profundo","Profundo","Mos","Mos","Mos","10","1"
